#Boss_U_1
W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W W 
W T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T W 
W G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G G TW TW T T T T T T T T T W 
W N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N LH TW TW T T T T T T T T W 
W N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N LH TW T T T T T T T T W 
W JG JG N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N N LH G G G G G G G G W 
W N N N N N N TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW TW N N N N N N N N N N N N W 
W N N N N N N TW T T T T T T T T T T T T T T T T T T T T T T T T T T TW N N N N N N N N N N N N W 
W JG JG G G JG JG TW T T T T T T T T T T T T TW TW G G G G G G G G G G G G G JG JG JG JG N N N N N N N N W 
W N N N N N N TW T T T T T T T T T T T TW TW RH N N N N N N N N N N N N N N N N N N N N N N N N N W 
W N N N N N N TW T T T T T T T T T T TW TW RH N N N N N N N N N N N N N N N N N N N N N N N N N N W 
W N N N N N N TW T T T T T T T T T TW TW RH N N N N N N N N JG JG N N N N N N N N N N N N N N N N N W 
W N N N N N N TW T T T T T T T T TW TW RH N N N N N N N N N N N TW TW TW TW N N N N N N N N N N N N N W 
W N N N N N N TW T T T T T T T TW TW RH N N N N N N N N N N N N TW T T TW N N N N N N N N N N N N N W 
W TW TW TW TW TW TW TW T T T T T T TW TW RH N N N N N N N N N N N JG JG G G G G JG JG N N N N N N N N N N N W 
W T T T T T T T T T T T T TW TW RH N N N N N N N N N N N N N N N DU DA N N N N N N N N N N N N N N W 
W T T T T T T T T T T T TW TW RH N N N N N N N N N N N N N N N N DA DA N N N N N N N N N N TW TW TW TW W 
W T T T T T T T T T T TW TW RH N N N N N N N N N N N N N N N N N DA DA N N N N N N N N N TW TW T T T W 
W T T T T T T T T T TW TW RH N N N N N N N N N N N N N N N N N N N N N N N N N N N N TW TW T T T T W 
